HelmRelease_ID,HelmRelease_Name,ChartRef_Name,OCIRepository_ID,OCIRepository_Name,OCIRepository_URL,Resource_ID,Resource_Name,Resource_ReferencePath,Resource_ResourceName,HelmRelease_Conditions,OCIRepository_Conditions
opendeskhomeHelmRelease,${ schema.spec.prefix }-opendesk-home-release,${ opendeskhomeOCIRepository.metadata.name },opendeskhomeOCIRepository,${schema.spec.prefix}-opendesk-home-repository,oci://${ opendeskhomeResourceChart.status.additional.?registry }/${ opendeskhomeResourceChart.status.additional.?repository },opendeskhomeResourceChart,${ schema.spec.prefix }-opendesk-home-resource,opendesk-services,helm-chart-home,['${schema.spec.components.openDeskHome}'],['${schema.spec.components.openDeskHome}']
opendeskcertificatesHelmRelease,${ schema.spec.prefix }-opendesk-certificates-release,${ opendeskcertificatesOCIRepository.metadata.name },opendeskcertificatesOCIRepository,${schema.spec.prefix}-opendesk-certificates-repository,oci://${ opendeskcertificatesResourceChart.status.additional.?registry }/${ opendeskcertificatesResourceChart.status.additional.?repository },opendeskcertificatesResourceChart,${ schema.spec.prefix }-opendesk-certificates-resource,opendesk-services,helm-chart-certificates,['${schema.spec.components.certificates}'],['${schema.spec.components.certificates}']
opendeskstaticfilesHelmRelease,${ schema.spec.prefix }-opendesk-static-files-release,${ opendeskstaticfilesOCIRepository.metadata.name },opendeskstaticfilesOCIRepository,${schema.spec.prefix}-opendesk-static-files-repository,oci://${ opendeskstaticfilesResourceChart.status.additional.?registry }/${ opendeskstaticfilesResourceChart.status.additional.?repository },opendeskstaticfilesResourceChart,${ schema.spec.prefix }-opendesk-static-files-resource,opendesk-services,helm-chart-static-files,['${schema.spec.components.staticFiles}'],['${schema.spec.components.staticFiles}']
redisHelmRelease,${ schema.spec.prefix }-redis-release,${ redisOCIRepository.metadata.name },redisOCIRepository,${schema.spec.prefix}-redis-repository,oci://${ redisResourceChart.status.additional.?registry }/${ redisResourceChart.status.additional.?repository },redisResourceChart,${ schema.spec.prefix }-redis-resource,services-external,helm-chart-redis,['${schema.spec.components.redis}'],['${schema.spec.components.redis}']
memcachedHelmRelease,${ schema.spec.prefix }-memcached-release,${ memcachedOCIRepository.metadata.name },memcachedOCIRepository,${schema.spec.prefix}-memcached-repository,oci://${ memcachedResourceChart.status.additional.?registry }/${ memcachedResourceChart.status.additional.?repository },memcachedResourceChart,${ schema.spec.prefix }-memcached-resource,services-external,helm-chart-memcached,['${schema.spec.components.memcached}'],['${schema.spec.components.memcached}']
postgresqlHelmRelease,${ schema.spec.prefix }-postgresql-release,${ postgresqlOCIRepository.metadata.name },postgresqlOCIRepository,${schema.spec.prefix}-postgresql-repository,oci://${ postgresqlResourceChart.status.additional.?registry }/${ postgresqlResourceChart.status.additional.?repository },postgresqlResourceChart,${ schema.spec.prefix }-postgresql-resource,services-external,helm-chart-postgresql,['${schema.spec.components.postgreSQL}'],['${schema.spec.components.postgreSQL}']
mariadbHelmRelease,${ schema.spec.prefix }-mariadb-release,${ mariadbOCIRepository.metadata.name },mariadbOCIRepository,${schema.spec.prefix}-mariadb-repository,oci://${ mariadbResourceChart.status.additional.?registry }/${ mariadbResourceChart.status.additional.?repository },mariadbResourceChart,${ schema.spec.prefix }-mariadb-resource,services-external,helm-chart-mariadb,['${schema.spec.components.mariaDB}'],['${schema.spec.components.mariaDB}']
postfixHelmRelease,${ schema.spec.prefix }-postfix-release,${ postfixOCIRepository.metadata.name },postfixOCIRepository,${schema.spec.prefix}-postfix-repository,oci://${ postfixResourceChart.status.additional.?registry }/${ postfixResourceChart.status.additional.?repository },postfixResourceChart,${ schema.spec.prefix }-postfix-resource,services-external,helm-chart-postfix,['${schema.spec.components.postfix}'],['${schema.spec.components.postfix}']
clamavsimpleHelmRelease,${ schema.spec.prefix }-clamav-simple-release,${ clamavsimpleOCIRepository.metadata.name },clamavsimpleOCIRepository,${schema.spec.prefix}-clamav-simple-repository,oci://${ clamavsimpleResourceChart.status.additional.?registry }/${ clamavsimpleResourceChart.status.additional.?repository },clamavsimpleResourceChart,${ schema.spec.prefix }-clamav-simple-resource,services-external,helm-chart-clamav,['${schema.spec.components.clamAVSimple}'],['${schema.spec.components.clamAVSimple}']
minioHelmRelease,${ schema.spec.prefix }-minio-release,${ minioOCIRepository.metadata.name },minioOCIRepository,${schema.spec.prefix}-minio-repository,oci://${ minioResourceChart.status.additional.?registry }/${ minioResourceChart.status.additional.?repository },minioResourceChart,${ schema.spec.prefix }-minio-resource,services-external,helm-chart-minio,['${schema.spec.components.minio}'],['${schema.spec.components.minio}']
